question,expert,round,estimate,actual
0,0,1,92.02201553588895,100
0,0,2,94.41541087512226,100
0,0,3,96.09078761258559,100
0,1,1,85.24425998083605,100
0,1,2,89.67098198658523,100
0,1,3,92.76968739060966,100
0,2,1,71.69460209518246,100
0,2,2,80.18622146662773,100
0,2,3,86.1303550266394,100
0,3,1,102.49404715779664,100
0,3,2,101.74583301045764,100
0,3,3,101.22208310732036,100
0,4,1,95.5116857873808,100
0,4,2,96.85818005116656,100
0,4,3,97.8007260358166,100
0,5,1,95.56237552080137,100
0,5,2,96.89366286456095,100
0,5,3,97.82556400519267,100
0,6,1,110.6769801485039,100
0,6,2,107.47388610395274,100
0,6,3,105.2317202727669,100
0,7,1,135.41641444352211,100
0,7,2,124.79149011046547,100
0,7,3,117.35404307732583,100
0,8,1,126.95564186548053,100
0,8,2,118.86894930583637,100
0,8,3,113.20826451408546,100
0,9,1,133.1204709421799,100
0,9,2,123.18432965952593,100
0,9,3,116.22903076166816,100
0,10,1,130.6912611764938,100
0,10,2,121.48388282354567,100
0,10,3,115.03871797648196,100
0,11,1,119.31842151183417,100
0,11,2,113.52289505828392,100
0,11,3,109.46602654079874,100
1,0,1,149.76714504599877,110
1,0,2,137.83700153219914,110
1,0,3,129.4859010725394,110
1,1,1,112.74207316232183,110
1,1,2,111.91945121362528,110
1,1,3,111.3436158495377,110
1,2,1,121.67512374332807,110
1,2,2,118.17258662032965,110
1,2,3,115.72081063423076,110
1,3,1,125.18036007039436,110
1,3,2,120.62625204927605,110
1,3,3,117.43837643449324,110
1,4,1,99.57462745188383,110
1,4,2,102.70223921631867,110
1,4,3,104.89156745142307,110
1,5,1,136.21112785543593,110
1,5,2,128.34778949880516,110
1,5,3,122.84345264916361,110
1,6,1,127.0181843570923,110
1,6,2,121.91272904996461,110
1,6,3,118.33891033497522,110
1,7,1,102.71022979383719,110
1,7,2,104.89716085568602,110
1,7,3,106.42801259898022,110
1,8,1,99.74404903867469,110
1,8,2,102.82083432707228,110
