question,expert,estimate,actual
0,0,92.02201553588895,100
0,1,85.24425998083605,100
0,2,71.69460209518246,100
0,3,102.49404715779664,100
0,4,95.5116857873808,100
0,5,95.56237552080137,100
0,6,110.6769801485039,100
0,7,135.41641444352211,100
0,8,126.95564186548053,100
0,9,133.1204709421799,100
0,10,130.6912611764938,100
0,11,119.31842151183417,100
1,0,149.76714504599877,110
1,1,112.74207316232183,110
1,2,121.67512374332807,110
1,3,125.18036007039436,110
1,4,99.57462745188383,110
1,5,136.21112785543593,110
1,6,127.0181843570923,110
1,7,102.71022979383719,110
1,8,99.74404903867469,110
1,9,162.54742883135089,110
1,10,107.08571338465481,110
1,11,88.14446843703331,110
2,0,124.831728450431,120
2,1,136.44117706207052,120
2,2,109.44964025387569,120
2,3,120.66443145411972,120
2,4,132.35896632257817,120
2,5,107.06796217426546,120
2,6,126.12081179775443,120
2,7,135.8680972895214,120
2,8,119.67739998096299,120
2,9,168.67825633878502,120
2,10,106.98877684278878,120
2,11,162.84506801204708,120
3,0,181.58336611634516,130
3,1,130.45930187393134,130
3,2,122.66180755291694,130
3,3,120.75860415873785,130
3,4,112.69760457919844,130
3,5,162.58425204105944,130
3,6,121.30926361660377,130
3,7,158.3340255841918,130
3,8,152.07414557878116,130
3,9,137.37710137225517,130
3,10,153.67004123610297,130
3,11,124.68085806517237,130
4,0,121.66566300901846,140
4,1,169.4461425677102,140
4,2,153.8679768664539,140
4,3,111.50201737638707,140
4,4,139.25832356105266,140
4,5,160.38803866743655,140
4,6,182.42754534662146,140
4,7,116.71435453821658,140
4,8,154.23242313780446,140
4,9,106.71808093501005,140
4,10,161.0566680893129,140
4,11,161.22312490088254,140
5,0,152.79234450701844,150
5,1,137.75843178623467,150
5,2,150.42317812192658,150
5,3,202.4970608643398,150
5,4,180.8334084971529,150
5,5,175.58140283145528,150
5,6,132.3330573137177,150
5,7,150.303227964336,150
5,8,175.4064372659596,150
5,9,142.5464084007433,150
5,10,155.86371949990667,150
5,11,177.7924235931904,150
6,0,176.48709179724102,160
6,1,198.87006592102938,160
6,2,161.30836055147108,160
6,3,164.72486101171071,160
6,4,164.94583529999423,160
6,5,173.34988935633163,160
6,6,142.89984765884083,160
6,7,167.07493684130486,160
6,8,126.28292262588009,160
6,9,152.95920526677224,160
6,10,178.2581162563322,160
6,11,181.81818128982164,160
7,0,202.98970085053688,170
7,1,162.38558080695435,170
7,2,181.00563235550047,170
7,3,169.74599983256985,170
7,4,184.45098041314165,170
7,5,193.502247749875,170
7,6,216.38502473535226,170
7,7,173.29556899906748,170
7,8,188.61359033238222,170
7,9,171.90294815700187,170
7,10,199.35754157194125,170
7,11,148.1748821792733,170
