series_id,timestamp,target
item-0,2025-01-06,50.9
item-0,2025-01-07,41.34
item-0,2025-01-08,42.11
item-0,2025-01-09,43.83
item-0,2025-01-10,40.4
item-0,2025-01-11,32.84
item-0,2025-01-12,37.15
item-0,2025-01-13,41.92
item-0,2025-01-14,43.32
item-0,2025-01-15,44.15
item-0,2025-01-16,44.59
item-0,2025-01-17,39.48
item-0,2025-01-18,44.01
item-0,2025-01-19,36.69
item-0,2025-01-20,39.87
item-0,2025-01-21,44.31
item-0,2025-01-22,57.07
item-0,2025-01-23,45.3
item-0,2025-01-24,37.75
item-0,2025-01-25,40.77
item-0,2025-01-26,31.64
item-0,2025-01-27,50.04
item-0,2025-01-28,44.06
item-0,2025-01-29,44.08
item-0,2025-01-30,46.65
item-0,2025-01-31,40.06
item-0,2025-02-01,34.42
item-0,2025-02-02,35.82
item-0,2025-02-03,40.92
item-0,2025-02-04,47.77
item-0,2025-02-05,44.82
item-0,2025-02-06,45.08
item-0,2025-02-07,39.98
item-0,2025-02-08,31.89
item-0,2025-02-09,37.04
item-0,2025-02-10,43.09
item-0,2025-02-11,45.14
item-0,2025-02-12,44.69
item-0,2025-02-13,46.4
item-0,2025-02-14,40.17
item-0,2025-02-15,32.69
item-0,2025-02-16,38.22
item-0,2025-02-17,44.58
item-0,2025-02-18,54.97
item-0,2025-02-19,46.07
item-0,2025-02-20,44.61
item-0,2025-02-21,37.41
item-0,2025-02-22,30.71
item-0,2025-02-23,37.49
item-0,2025-02-24,46.28
item-0,2025-02-25,46.37
item-0,2025-02-26,43.98
item-0,2025-02-27,54.53
item-0,2025-02-28,40.64
item-0,2025-03-01,33.97
item-0,2025-03-02,38.19
item-0,2025-03-03,43.24
item-0,2025-03-04,47.01
item-0,2025-03-05,55.13
item-0,2025-03-06,45.11
item-0,2025-03-07,40.04
item-0,2025-03-08,32.17
item-0,2025-03-09,35.97
item-0,2025-03-10,43.9
item-0,2025-03-11,58.01
item-0,2025-03-12,46.82
item-0,2025-03-13,54.29
item-0,2025-03-14,41.1
item-0,2025-03-15,42.42
item-0,2025-03-16,38.73
item-0,2025-03-17,42.4
item-0,2025-03-18,45.02
item-0,2025-03-19,46.15
item-0,2025-03-20,46.79
item-0,2025-03-21,42.6
item-0,2025-03-22,35.34
item-0,2025-03-23,34.84
item-0,2025-03-24,53.26
item-0,2025-03-25,50.3
item-0,2025-03-26,44.19
item-0,2025-03-27,56.2
item-0,2025-03-28,40.49
item-0,2025-03-29,43.27
item-0,2025-03-30,38.96
item-0,2025-03-31,45.59
item-0,2025-04-01,46.29
item-0,2025-04-02,46.29
item-0,2025-04-03,44.46
item-0,2025-04-04,52.27
