event_date,report_date,count
2020-01-01,2020-01-01,16
2020-01-01,2020-01-02,34
2020-01-01,2020-01-03,18
2020-01-01,2020-01-04,10
2020-01-01,2020-01-05,11
2020-01-02,2020-01-02,24
2020-01-02,2020-01-03,32
2020-01-02,2020-01-04,25
2020-01-02,2020-01-05,26
2020-01-02,2020-01-06,11
2020-01-03,2020-01-03,18
2020-01-03,2020-01-04,32
2020-01-03,2020-01-05,18
2020-01-03,2020-01-06,16
2020-01-03,2020-01-07,8
2020-01-04,2020-01-04,18
2020-01-04,2020-01-05,32
2020-01-04,2020-01-06,19
2020-01-04,2020-01-07,17
2020-01-04,2020-01-08,7
2020-01-05,2020-01-05,23
2020-01-05,2020-01-06,37
2020-01-05,2020-01-07,25
2020-01-05,2020-01-08,15
2020-01-05,2020-01-09,9
2020-01-06,2020-01-06,20
2020-01-06,2020-01-07,23
2020-01-06,2020-01-08,15
2020-01-06,2020-01-09,10
2020-01-06,2020-01-10,11
2020-01-07,2020-01-07,17
2020-01-07,2020-01-08,34
2020-01-07,2020-01-09,15
2020-01-07,2020-01-10,9
2020-01-07,2020-01-11,15
2020-01-08,2020-01-08,26
2020-01-08,2020-01-09,35
2020-01-08,2020-01-10,29
2020-01-08,2020-01-11,22
2020-01-08,2020-01-12,16
2020-01-09,2020-01-09,25
2020-01-09,2020-01-10,26
2020-01-09,2020-01-11,32
2020-01-09,2020-01-12,12
2020-01-09,2020-01-13,9
2020-01-10,2020-01-10,24
2020-01-10,2020-01-11,34
2020-01-10,2020-01-12,19
2020-01-10,2020-01-13,20
2020-01-10,2020-01-14,12
2020-01-11,2020-01-11,30
2020-01-11,2020-01-12,22
2020-01-11,2020-01-13,28
2020-01-11,2020-01-14,16
2020-01-11,2020-01-15,10
2020-01-12,2020-01-12,22
2020-01-12,2020-01-13,33
2020-01-12,2020-01-14,18
2020-01-12,2020-01-15,13
2020-01-12,2020-01-16,7
2020-01-13,2020-01-13,17
2020-01-13,2020-01-14,25
2020-01-13,2020-01-15,28
2020-01-13,2020-01-16,9
2020-01-13,2020-01-17,9
2020-01-14,2020-01-14,13
2020-01-14,2020-01-15,22
2020-01-14,2020-01-16,30
2020-01-14,2020-01-17,18
