node,timestamp,target
North,2019-01-01,125.0
North,2019-02-01,137.4
North,2019-03-01,129.7
North,2019-04-01,144.4
North,2019-05-01,134.6
North,2019-06-01,121.5
North,2019-07-01,113.0
North,2019-08-01,110.1
North,2019-09-01,105.5
North,2019-10-01,108.7
North,2019-11-01,120.6
North,2019-12-01,129.2
North,2020-01-01,135.9
North,2020-02-01,143.0
North,2020-03-01,147.2
North,2020-04-01,141.5
North,2020-05-01,136.6
North,2020-06-01,132.9
North,2020-07-01,121.1
North,2020-08-01,108.9
North,2020-09-01,111.6
North,2020-10-01,120.3
North,2020-11-01,123.0
North,2020-12-01,133.1
North,2021-01-01,146.6
North,2021-02-01,159.7
North,2021-03-01,150.0
North,2021-04-01,158.5
North,2021-05-01,139.6
North,2021-06-01,138.3
North,2021-07-01,123.2
North,2021-08-01,129.8
North,2021-09-01,125.4
North,2021-10-01,129.9
North,2021-11-01,127.0
North,2021-12-01,144.4
North,2022-01-01,148.0
North,2022-02-01,155.5
North,2022-03-01,163.3
North,2022-04-01,163.4
North,2022-05-01,154.0
North,2022-06-01,141.5
North,2022-07-01,132.1
North,2022-08-01,137.4
North,2022-09-01,131.4
North,2022-10-01,135.0
North,2022-11-01,149.5
North,2022-12-01,144.1
North,2023-01-01,170.6
North,2023-02-01,180.7
North,2023-03-01,176.1
North,2023-04-01,170.3
North,2023-05-01,156.9
North,2023-06-01,156.8
North,2023-07-01,141.2
North,2023-08-01,137.3
North,2023-09-01,134.1
North,2023-10-01,140.0
North,2023-11-01,152.2
North,2023-12-01,152.6
North,2024-01-01,160.1
North,2024-02-01,167.2
North,2024-03-01,170.4
North,2024-04-01,166.2
North,2024-05-01,162.8
North,2024-06-01,165.5
North,2024-07-01,147.6
North,2024-08-01,145.9
North,2024-09-01,136.7
North,2024-10-01,146.7
North,2024-11-01,144.3
North,2024-12-01,159.1
South,2019-01-01,91.5
South,2019-02-01,83.9
South,2019-03-01,82.7
South,2019-04-01,79.8
South,2019-05-01,72.4
South,2019-06-01,75.0
South,2019-07-01,73.6
South,2019-08-01,64.9
South,2019-09-01,69.4
South,2019-10-01,76.7
South,2019-11-01,87.5
South,2019-12-01,99.0
South,2020-01-01,90.9
