node,timestamp,target
North,2025-01-01,183.5
North,2025-02-01,176.5
North,2025-03-01,188.0
North,2025-04-01,182.9
North,2025-05-01,173.8
North,2025-06-01,162.9
North,2025-07-01,164.2
North,2025-08-01,150.9
North,2025-09-01,157.6
North,2025-10-01,149.4
North,2025-11-01,160.5
North,2025-12-01,172.1
South,2025-01-01,102.6
South,2025-02-01,94.2
South,2025-03-01,101.8
South,2025-04-01,98.0
South,2025-05-01,92.7
South,2025-06-01,98.4
South,2025-07-01,89.4
South,2025-08-01,83.4
South,2025-09-01,101.7
South,2025-10-01,92.5
South,2025-11-01,104.6
South,2025-12-01,108.2
West,2025-01-01,78.4
West,2025-02-01,72.8
West,2025-03-01,69.6
West,2025-04-01,61.1
West,2025-05-01,58.0
West,2025-06-01,61.2
West,2025-07-01,58.0
West,2025-08-01,54.9
West,2025-09-01,60.6
West,2025-10-01,65.0
West,2025-11-01,69.6
West,2025-12-01,68.6
Total,2025-01-01,364.5
Total,2025-02-01,343.6
Total,2025-03-01,359.3
Total,2025-04-01,342.0
Total,2025-05-01,324.6
Total,2025-06-01,322.6
Total,2025-07-01,311.6
Total,2025-08-01,289.2
Total,2025-09-01,319.9
Total,2025-10-01,306.9
Total,2025-11-01,334.6
Total,2025-12-01,348.9
