question,round,n,median,iqr,absolute_error
0,1,12,106.58551365315027,33.250278468725995,6.585513653150272
0,2,12,104.6098595572052,23.27519492810822,4.609859557205198
0,3,12,103.22690169004363,16.29263644967574,3.2269016900436327
1,1,12,117.20859845282496,27.347735626631618,7.208598452824958
1,2,12,115.04601891697746,19.143414938642152,5.046018916977459
1,3,12,113.53221324188422,13.400390457049497,3.5322132418842216
2,1,12,125.47627012409272,18.890907183467505,5.476270124092721
2,2,12,123.8333890868649,13.223635028427239,3.833389086864898
2,3,12,122.68337236080544,9.256544519899066,2.6833723608054356
3,1,12,133.91820162309324,32.51236575428652,3.918201623093239
3,2,12,132.74274113616528,22.758656028000587,2.7427411361652787
3,3,12,131.9199187953157,15.931059219600385,1.9199187953157093
4,1,12,154.05020000212917,40.67044640088733,14.050200002129174
4,2,12,149.83514000149043,28.46931248062117,9.83514000149043
4,3,12,146.8845980010433,19.928518736434796,6.884598001043287
5,1,12,154.32803200346257,27.770134948451215,4.3280320034625674
5,2,12,153.0296224024238,19.439094463915865,3.029622402423797
5,3,12,152.12073568169666,13.607366124741105,2.120735681696658
6,1,12,166.01038607064953,17.70877618171744,6.010386070649531
6,2,12,164.20727024945467,12.396143327202225,4.207270249454666
6,3,12,162.94508917461826,8.677300329041543,2.9450891746182606
7,1,12,182.72830638432106,23.602360129497697,12.728306384321058
7,2,12,178.90981446902475,16.521652090648388,8.909814469024752
7,3,12,176.23687012831732,11.565156463453889,6.236870128317321
