series_id,timestamp,horizon,actual,seasonal_naive,prediction
item-0,2025-07-28 00:00:00+00:00,1,47.95,48.5,47.965562987390115
item-0,2025-07-29 00:00:00+00:00,2,53.38,57.74,47.97157734485875
item-0,2025-07-30 00:00:00+00:00,3,49.53,51.83,47.98989869487771
item-0,2025-07-31 00:00:00+00:00,4,59.83,53.27,58.452283319111025
item-0,2025-08-01 00:00:00+00:00,5,55.2,45.06,53.41586883731572
item-0,2025-08-02 00:00:00+00:00,6,40.79,37.23,38.65593195960129
item-0,2025-08-03 00:00:00+00:00,7,40.08,41.82,39.801006315875384
item-1,2025-07-28 00:00:00+00:00,1,53.04,51.04,50.00759365592266
item-1,2025-07-29 00:00:00+00:00,2,54.26,55.99,52.412198859679535
item-1,2025-07-30 00:00:00+00:00,3,63.93,52.26,61.38600253563277
item-1,2025-07-31 00:00:00+00:00,4,54.44,53.18,52.01639949283599
item-1,2025-08-01 00:00:00+00:00,5,48.3,46.98,47.55517107079827
item-1,2025-08-02 00:00:00+00:00,6,42.66,55.44,42.03143733242923
item-1,2025-08-03 00:00:00+00:00,7,44.8,45.83,43.381449431046704
item-2,2025-07-28 00:00:00+00:00,1,55.86,54.75,55.483712376849994
item-2,2025-07-29 00:00:00+00:00,2,56.49,56.97,56.78952790356653
item-2,2025-07-30 00:00:00+00:00,3,58.57,57.26,57.597824575131504
item-2,2025-07-31 00:00:00+00:00,4,66.97,66.35,67.74386485340969
item-2,2025-08-01 00:00:00+00:00,5,64.08,53.77,62.92650032090633
item-2,2025-08-02 00:00:00+00:00,6,54.49,47.04,55.82981446485636
item-2,2025-08-03 00:00:00+00:00,7,50.03,59.57,49.31192295304942
item-3,2025-07-28 00:00:00+00:00,1,59.59,58.68,59.48182122811857
item-3,2025-07-29 00:00:00+00:00,2,61.54,61.75,60.91341954485695
item-3,2025-07-30 00:00:00+00:00,3,73.84,64.64,70.41282504056534
item-3,2025-07-31 00:00:00+00:00,4,61.81,75.63,59.85950890281942
item-3,2025-08-01 00:00:00+00:00,5,66.34,58.0,66.0254241245042
item-3,2025-08-02 00:00:00+00:00,6,61.02,49.32,60.13940272951709
item-3,2025-08-03 00:00:00+00:00,7,59.85,54.71,61.63957169298803
item-4,2025-07-28 00:00:00+00:00,1,62.91,73.67,63.009176414313146
item-4,2025-07-29 00:00:00+00:00,2,78.03,65.88,76.81631461397649
item-4,2025-07-30 00:00:00+00:00,3,64.79,75.45,66.8418024500443
item-4,2025-07-31 00:00:00+00:00,4,67.61,77.07,67.22416078524377
item-4,2025-08-01 00:00:00+00:00,5,59.14,70.95,59.61800889783866
item-4,2025-08-02 00:00:00+00:00,6,51.97,52.89,55.1264573394458
item-4,2025-08-03 00:00:00+00:00,7,56.72,56.3,57.077707048900294
item-5,2025-07-28 00:00:00+00:00,1,68.15,78.5,67.97111699843724
item-5,2025-07-29 00:00:00+00:00,2,71.74,78.13,69.72215112980804
item-5,2025-07-30 00:00:00+00:00,3,71.82,69.99,69.89718008626924
item-5,2025-07-31 00:00:00+00:00,4,70.57,71.52,69.59974788143765
item-5,2025-08-01 00:00:00+00:00,5,76.04,63.78,75.43632783189118
item-5,2025-08-02 00:00:00+00:00,6,60.28,70.74,58.44194258383136
item-5,2025-08-03 00:00:00+00:00,7,72.83,62.37,71.839769168486
item-6,2025-07-28 00:00:00+00:00,1,72.73,74.36,73.70108249710444
item-6,2025-07-29 00:00:00+00:00,2,75.28,84.93,74.91771666493705
item-6,2025-07-30 00:00:00+00:00,3,71.96,87.5,76.16614182936397
item-6,2025-07-31 00:00:00+00:00,4,74.16,85.4,76.16244342848906
item-6,2025-08-01 00:00:00+00:00,5,69.44,68.4,70.39604118209013
item-6,2025-08-02 00:00:00+00:00,6,70.17,61.59,74.47018327152271
item-6,2025-08-03 00:00:00+00:00,7,66.31,64.1,64.24906927081803
item-7,2025-07-28 00:00:00+00:00,1,75.36,85.46,74.76029181973253
item-7,2025-07-29 00:00:00+00:00,2,88.57,75.42,85.81703611724204
item-7,2025-07-30 00:00:00+00:00,3,78.45,86.65,77.1484530772216
item-7,2025-07-31 00:00:00+00:00,4,77.47,74.23,76.19510771543995
item-7,2025-08-01 00:00:00+00:00,5,72.94,73.76,71.99438705760548
item-7,2025-08-02 00:00:00+00:00,6,65.2,68.61,65.51891964629883
item-7,2025-08-03 00:00:00+00:00,7,68.8,70.96,65.8833526825538
