node,timestamp,base,bottom_up,OLS,MinT
Total,2022-01-01 00:00:00+00:00,117.92214443356633,117.26548228150571,117.70325704954612,117.58797839343723
Total,2022-02-01 00:00:00+00:00,119.39133324671107,119.61064674417034,119.46443774586416,119.50293876982954
Total,2022-03-01 00:00:00+00:00,120.89173667439799,120.5580852678765,120.78051953889081,120.72194621373126
Total,2022-04-01 00:00:00+00:00,117.75774671795837,118.73235421964353,118.08261588518675,118.25371062953181
Total,2022-05-01 00:00:00+00:00,118.1566975066556,117.99040817745029,118.10126773025382,118.07207522945887
Total,2022-06-01 00:00:00+00:00,113.44853043736636,114.4328623387957,113.77664107117613,113.94944295781724
Total,2022-07-01 00:00:00+00:00,111.90428053076155,112.20772837986141,112.00542981379483,112.05870083015171
Total,2022-08-01 00:00:00+00:00,110.17938816973117,109.4250753901878,109.92795057655005,109.79552911257706
Total,2022-09-01 00:00:00+00:00,110.9706086671433,109.3065713325307,110.41592955560577,110.12380370817084
Total,2022-10-01 00:00:00+00:00,110.15089130018454,110.3101711644205,110.20398458826318,110.23194656024026
Total,2022-11-01 00:00:00+00:00,112.49154817882689,112.77933989391894,112.58747875052423,112.63800129404372
Total,2022-12-01 00:00:00+00:00,114.668884655027,114.72242858355293,114.68673263120232,114.69613239956705
A,2022-01-01 00:00:00+00:00,68.29700576721875,68.29700576721875,68.51589315123896,68.55557933428526
A,2022-02-01 00:00:00+00:00,71.38133922226882,71.38133922226882,71.30823472311573,71.294980242745
A,2022-03-01 00:00:00+00:00,73.34071727403594,73.34071727403594,73.4519344095431,73.47209904176884
A,2022-04-01 00:00:00+00:00,72.935795811707,72.935795811707,72.61092664447861,72.55202504403033
A,2022-05-01 00:00:00+00:00,73.49800755776054,73.49800755776054,73.55343733416231,73.56348723385088
A,2022-06-01 00:00:00+00:00,71.25200280720028,71.25200280720028,70.9238921733905,70.86440286690946
A,2022-07-01 00:00:00+00:00,69.65330515402242,69.65330515402242,69.55215587098913,69.53381662782337
A,2022-08-01 00:00:00+00:00,66.13777572217201,66.13777572217201,66.38921331535315,66.43480113391277
A,2022-09-01 00:00:00+00:00,64.62588921018354,64.62588921018354,65.18056832172108,65.28113646022287
A,2022-10-01 00:00:00+00:00,64.16308267664425,64.16308267664425,64.1099893885656,64.1003631144948
A,2022-11-01 00:00:00+00:00,64.68793141765406,64.68793141765406,64.59200084595669,64.57460780046364
A,2022-12-01 00:00:00+00:00,66.26940858140573,66.26940858140573,66.25156060523042,66.24832461219835
B,2022-01-01 00:00:00+00:00,48.968476514286955,48.968476514286955,49.18736389830716,49.03239905915198
B,2022-02-01 00:00:00+00:00,48.229307521901525,48.229307521901525,48.156203022748436,48.20795852708455
B,2022-03-01 00:00:00+00:00,47.21736799384057,47.21736799384057,47.32858512934772,47.24984717196241
B,2022-04-01 00:00:00+00:00,45.79655840793652,45.79655840793652,45.47168924070814,45.70168558550149
B,2022-05-01 00:00:00+00:00,44.49240061968974,44.49240061968974,44.54783039609151,44.508587995608
B,2022-06-01 00:00:00+00:00,43.18085953159542,43.18085953159542,42.85274889778564,43.085040090907775
B,2022-07-01 00:00:00+00:00,42.554423225838995,42.554423225838995,42.45327394280571,42.52488420232833
B,2022-08-01 00:00:00+00:00,43.287299668015784,43.287299668015784,43.53873726119691,43.360727978664286
B,2022-09-01 00:00:00+00:00,44.68068212234716,44.68068212234716,45.23536123388469,44.84266724794798
B,2022-10-01 00:00:00+00:00,46.147088487776244,46.147088487776244,46.09399519969759,46.13158344574547
B,2022-11-01 00:00:00+00:00,48.091408476264895,48.091408476264895,47.99547790456754,48.06339349358008
B,2022-12-01 00:00:00+00:00,48.4530200021472,48.4530200021472,48.43517202597189,48.4478077873687
