time,ceiling,bass_trials,gamma_trials,bass_units,gamma_units
13.0,110000,7051.64734365551,684.8482927485924,7051.64734365551,684.8482927485924
14.0,110000,4255.790197637412,1563.5628379521645,4255.790197637412,1563.5628379521645
15.0,110000,3312.694404754162,2003.487484799454,3312.694404754162,2003.487484799454
16.0,110000,2532.786333265729,2176.0154762929656,2532.786333265729,2176.0154762929656
17.0,110000,1910.0811441942205,2181.367821987417,1910.0811441942205,2181.367821987417
18.0,110000,1425.607148310417,2085.2867126823526,1425.607148310417,2085.2867126823526
19.0,110000,1055.7983631435927,1931.6836773973157,1055.7983631435927,1931.6836773973157
20.0,110000,777.4385449566616,1749.7700275190891,777.4385449566616,1749.7700275190891
21.0,110000,570.0484946114739,1558.6543634015081,570.0484946114739,1558.6543634015081
22.0,110000,416.6852160752169,1370.4686041238667,416.6852160752169,1370.4686041238667
23.0,110000,303.890813847931,1192.5437274030926,303.890813847931,1192.5437274030926
24.0,110000,221.2621591933712,1028.9391545890874,221.2621591933712,1028.9391545890874
25.0,110000,160.90607456259022,881.5205977920676,160.90607456259022,881.5205977920676
26.0,110000,116.91127708206477,750.7180505341216,116.91127708206477,750.7180505341216
27.0,110000,84.89131662045838,636.055682141977,84.89131662045838,636.055682141977
28.0,110000,61.61251111222373,536.518720155573,61.61251111222373,536.518720155573
29.0,110000,44.7021586336632,450.80395506845565,44.7021586336632,450.80395506845565
30.0,110000,32.42515857091348,377.4874624997357,32.42515857091348,377.4874624997357
31.0,110000,23.515750890757772,315.1337970541057,23.515750890757772,315.1337970541057
32.0,110000,17.05217742147215,262.3641647667913,17.05217742147215,262.3641647667913
33.0,110000,12.364040153232054,217.89618360491218,12.364040153232054,217.89618360491218
34.0,110000,8.964202480390668,180.56427859378826,8.964202480390668,180.56427859378826
35.0,110000,6.498926952932379,149.32716502096233,6.498926952932379,149.32716502096233
36.0,110000,4.711467994740815,123.26698799174169,4.711467994740815,123.26698799174169
13.0,150000,12171.195531200181,1793.2219806531684,12171.195531200181,1793.2219806531684
14.0,150000,7516.533583049837,4094.0676626283853,7516.533583049837,4094.0676626283853
15.0,150000,6783.3847620768065,5245.976128942166,6783.3847620768065,5245.976128942166
16.0,150000,6016.729218919485,5697.7272538262305,6016.729218919485,5697.7272538262305
17.0,150000,5255.3601386899245,5711.7419546716155,5255.3601386899245,5711.7419546716155
18.0,150000,4529.092022271958,5460.1610440441145,4529.092022271958,5460.1610440441145
19.0,150000,3858.2285169786337,5057.9634448317465,3858.2285169786337,5057.9634448317465
20.0,150000,3254.427156130696,4581.636703571646,3254.427156130696,4581.636703571646
21.0,150000,2722.32255843436,4081.215203844575,2722.32255843436,4081.215203844575
22.0,150000,2261.3776763769856,3588.465432025471,2261.3776763769856,3588.465432025471
23.0,150000,1867.613143664581,3122.582982994056,1867.613143664581,3122.582982994056
24.0,150000,1535.036618381273,2694.1971357752686,1535.036618381273,2694.1971357752686
25.0,150000,1256.7201546082797,2308.1931123971626,1256.7201546082797,2308.1931123971626
26.0,150000,1025.548819596559,1965.696817448407,1025.548819596559,1965.696817448407
27.0,150000,834.698412743368,1665.4623253256002,834.698412743368,1665.4623253256002
28.0,150000,677.9085106411949,1404.8325332805716,677.9085106411949,1404.8325332805716
29.0,150000,549.6113622069242,1180.3950885965023,549.6113622069242,1180.3950885965023
30.0,150000,444.9657445792109,988.421556048197,444.9657445792109,988.421556048197
31.0,150000,359.83259680701303,825.1533335304186,359.83259680701303,825.1533335304186
32.0,150000,290.71839454810834,686.9801563019035,290.71839454810834,686.9801563019035
33.0,150000,234.70361168513773,570.5442067652292,234.70361168513773,570.5442067652292
34.0,150000,189.3672353263828,472.79351751852494,189.3672353263828,472.79351751852494
35.0,150000,152.7138211777492,391.00156554309086,152.7138211777492,391.00156554309086
36.0,150000,123.10656966592069,322.7650191965171,123.10656966592069,322.7650191965171
13.0,200000,14108.586565764592,3103.5076246136578,14108.586565764592,3103.5076246136578
14.0,200000,9283.086842386532,7085.553458375159,9283.086842386532,7085.553458375159
15.0,200000,8969.171504338505,9079.147529065554,8969.171504338505,9079.147529065554
16.0,200000,8554.135292028455,9860.98774496276,8554.135292028455,9860.98774496276
17.0,200000,8057.920321184763,9885.242818455943,8057.920321184763,9885.242818455943
18.0,200000,7502.447883113899,9449.83477485428,7502.447883113899,9449.83477485428
19.0,200000,6909.769526585384,8753.756247363648,6909.769526585384,8753.756247363648
20.0,200000,6300.509331697773,7929.3833090118405,6300.509331697773,7929.3833090118405
21.0,200000,5692.734835615702,7063.309863181184,5692.734835615702,7063.309863181184
22.0,200000,5101.296064718132,6210.513784186986,5101.296064718132,6210.513784186986
23.0,200000,4537.593016159895,5404.216656256382,4537.593016159895,5404.216656256382
24.0,200000,4009.6829809757764,4662.814444224702,4009.6829809757764,4662.814444224702
25.0,200000,3522.620420447667,3994.761942855547,3522.620420447667,3994.761942855547
26.0,200000,3078.9267240848276,3402.007741622623,3078.9267240848276,3402.007741622623
27.0,200000,2679.105638461595,2882.395532131556,2679.105638461595,2882.395532131556
28.0,200000,2322.1438990340976,2431.3266987467487,2322.1438990340976,2431.3266987467487
29.0,200000,2005.959578677779,2042.8955238332535,2005.959578677779,2042.8955238332535
30.0,200000,1727.7795846299268,1710.6492495763034,1727.7795846299268,1710.6492495763034
31.0,200000,1484.4414681483177,1428.0829087061782,1484.4414681483177,1428.0829087061782
32.0,200000,1272.6235199798248,1188.9482596374692,1272.6235199798248,1188.9482596374692
33.0,200000,1089.011945234175,987.4339680077305,1089.011945234175,987.4339680077305
34.0,200000,930.4158589987492,818.25803069411,930.4158589987492,818.25803069411
35.0,200000,793.8409355966432,676.7016872372149,793.8409355966432,676.7016872372149
36.0,200000,676.5315803271369,558.6055205893143,676.5315803271369,558.6055205893143
