event_date,age,reported,completeness,nowcast,lower,upper
2020-01-01 00:00:00+00:00,45,89,1.0,89.0,89.0,89.0
2020-01-02 00:00:00+00:00,44,118,1.0,118.0,118.0,118.0
2020-01-03 00:00:00+00:00,43,92,1.0,92.0,92.0,92.0
2020-01-04 00:00:00+00:00,42,93,1.0,93.0,93.0,93.0
2020-01-05 00:00:00+00:00,41,109,1.0,109.0,109.0,109.0
2020-01-06 00:00:00+00:00,40,79,1.0,79.0,79.0,79.0
2020-01-07 00:00:00+00:00,39,90,1.0,90.0,90.0,90.0
2020-01-08 00:00:00+00:00,38,128,1.0,128.0,128.0,128.0
2020-01-09 00:00:00+00:00,37,104,1.0,104.0,104.0,104.0
2020-01-10 00:00:00+00:00,36,109,1.0,109.0,109.0,109.0
2020-01-11 00:00:00+00:00,35,106,1.0,106.0,106.0,106.0
2020-01-12 00:00:00+00:00,34,93,1.0,93.0,93.0,93.0
2020-01-13 00:00:00+00:00,33,88,1.0,88.0,88.0,88.0
2020-01-14 00:00:00+00:00,32,89,1.0,89.0,89.0,89.0
2020-01-15 00:00:00+00:00,31,99,1.0,99.0,99.0,99.0
2020-01-16 00:00:00+00:00,30,108,1.0,108.0,108.0,108.0
2020-01-17 00:00:00+00:00,29,84,1.0,84.0,84.0,84.0
2020-01-18 00:00:00+00:00,28,94,1.0,94.0,94.0,94.0
2020-01-19 00:00:00+00:00,27,111,1.0,111.0,111.0,111.0
2020-01-20 00:00:00+00:00,26,103,1.0,103.0,103.0,103.0
2020-01-21 00:00:00+00:00,25,98,1.0,98.0,98.0,98.0
2020-01-22 00:00:00+00:00,24,132,1.0,132.0,132.0,132.0
2020-01-23 00:00:00+00:00,23,89,1.0,89.0,89.0,89.0
2020-01-24 00:00:00+00:00,22,108,1.0,108.0,108.0,108.0
2020-01-25 00:00:00+00:00,21,92,1.0,92.0,92.0,92.0
2020-01-26 00:00:00+00:00,20,99,1.0,99.0,99.0,99.0
2020-01-27 00:00:00+00:00,19,97,1.0,97.0,97.0,97.0
2020-01-28 00:00:00+00:00,18,101,1.0,101.0,101.0,101.0
2020-01-29 00:00:00+00:00,17,84,1.0,84.0,84.0,84.0
2020-01-30 00:00:00+00:00,16,87,1.0,87.0,87.0,87.0
2020-01-31 00:00:00+00:00,15,98,1.0,98.0,98.0,98.0
2020-02-01 00:00:00+00:00,14,106,1.0,106.0,106.0,106.0
2020-02-02 00:00:00+00:00,13,108,1.0,108.0,108.0,108.0
2020-02-03 00:00:00+00:00,12,101,1.0,101.0,101.0,101.0
2020-02-04 00:00:00+00:00,11,113,1.0,113.0,113.0,113.0
2020-02-05 00:00:00+00:00,10,101,1.0,101.0,101.0,101.0
2020-02-06 00:00:00+00:00,9,95,1.0,95.0,95.0,95.0
2020-02-07 00:00:00+00:00,8,93,1.0,93.0,93.0,93.0
2020-02-08 00:00:00+00:00,7,102,1.0,102.0,102.0,102.0
2020-02-09 00:00:00+00:00,6,100,1.0,100.0,100.0,100.0
2020-02-10 00:00:00+00:00,5,102,1.0,102.0,102.0,102.0
2020-02-11 00:00:00+00:00,4,91,1.0,91.0,91.0,91.0
2020-02-12 00:00:00+00:00,3,90,0.8966275659824047,100.3761242845462,95.0,106.0
2020-02-13 00:00:00+00:00,2,75,0.75,100.0,91.0,110.0
2020-02-14 00:00:00+00:00,1,44,0.5070869990224829,86.7701204819277,73.0,104.0
2020-02-15 00:00:00+00:00,0,16,0.20210166177908112,79.16807738814994,56.0,115.0
