event_id,probability,outcome,action,loss,cumulative_loss
e0,0.4978058194909335,0,True,2.0,2.0
e1,0.4773509672952591,0,True,2.0,4.0
e2,0.5189402024918904,0,True,2.0,6.0
e3,0.6374255959445483,0,True,2.0,8.0
e4,0.4073071912796002,0,True,2.0,10.0
e5,0.6795386095058675,1,True,0.0,10.0
e6,0.1926161455420795,0,False,0.0,10.0
e7,0.2051487769505265,0,True,2.0,12.0
e8,0.5881492300575905,1,True,0.0,12.0
e9,0.4335246358049345,0,True,2.0,14.0
e10,0.406130373673255,1,True,0.0,14.0
e11,0.3883589973085449,0,True,2.0,16.0
e12,0.1464502304684149,0,False,0.0,16.0
e13,0.2880702506351792,0,True,2.0,18.0
e14,0.6966629804920708,0,True,2.0,20.0
e15,0.4584443337323635,1,True,0.0,20.0
e16,0.7584415535614503,1,True,0.0,20.0
e17,0.7306561093523676,1,True,0.0,20.0
e18,0.5267910738869918,0,True,2.0,22.0
e19,0.4851012542046498,0,True,2.0,24.0
e20,0.1780615797872426,0,False,0.0,24.0
e21,0.1929348009029124,0,False,0.0,24.0
e22,0.2264907256740649,0,True,2.0,26.0
e23,0.7665151399080161,1,True,0.0,26.0
e24,0.3643897912985455,0,True,2.0,28.0
e25,0.202051238850528,1,True,0.0,28.0
e26,0.4908089562097514,1,True,0.0,28.0
e27,0.772200499290279,1,True,0.0,28.0
e28,0.3921915389579843,0,True,2.0,30.0
e29,0.4952220032256783,1,True,0.0,30.0
e30,0.4619143011482664,0,True,2.0,32.0
e31,0.176299261968494,0,False,0.0,32.0
e32,0.6088771288421302,1,True,0.0,32.0
e33,0.1450312882935484,0,False,0.0,32.0
e34,0.1731348988140672,0,False,0.0,32.0
e35,0.4846740781843086,0,True,2.0,34.0
e36,0.6215126693124038,0,True,2.0,36.0
e37,0.8930553196704513,1,True,0.0,36.0
e38,0.4190105646076081,0,True,2.0,38.0
e39,0.1459698407168143,0,False,0.0,38.0
e40,0.3087608967768338,0,True,2.0,40.0
e41,0.7718427700935545,0,True,2.0,42.0
e42,0.7898490934760095,1,True,0.0,42.0
e43,0.1357565856082736,0,False,0.0,42.0
e44,0.6123186225495219,1,True,0.0,42.0
e45,0.2139569247085392,0,True,2.0,44.0
e46,0.1783872315508669,0,False,0.0,44.0
e47,0.809379087941198,1,True,0.0,44.0
e48,0.220109341055126,0,True,2.0,46.0
e49,0.2431492046687755,0,True,2.0,48.0
e50,0.3867417773333552,0,True,2.0,50.0
e51,0.4352719129078838,1,True,0.0,50.0
e52,0.7826856352618878,1,True,0.0,50.0
e53,0.2243810150294996,0,True,2.0,52.0
e54,0.4465138038997793,1,True,0.0,52.0
e55,0.7992231199117735,1,True,0.0,52.0
e56,0.6086236463537429,1,True,0.0,52.0
e57,0.872988005742254,1,True,0.0,52.0
e58,0.5708911548196435,0,True,2.0,54.0
e59,0.1060944453303971,0,False,0.0,54.0
e60,0.3458875903278048,0,True,2.0,56.0
e61,0.5580296984898889,1,True,0.0,56.0
e62,0.2662768125640081,1,True,0.0,56.0
e63,0.5596725407001877,1,True,0.0,56.0
e64,0.2980268340641405,1,True,0.0,56.0
e65,0.4908948140976721,0,True,2.0,58.0
e66,0.7100647011912461,0,True,2.0,60.0
e67,0.7253935219571783,1,True,0.0,60.0
e68,0.5239273894671829,0,True,2.0,62.0
e69,0.2713159049023139,0,True,2.0,64.0
e70,0.7538673030128659,0,True,2.0,66.0
e71,0.2860447339492672,0,True,2.0,68.0
e72,0.1819153036475592,0,False,0.0,68.0
e73,0.6118323487837459,0,True,2.0,70.0
e74,0.6105025240781665,1,True,0.0,70.0
e75,0.3681398827132223,0,True,2.0,72.0
e76,0.8752525319185929,1,True,0.0,72.0
e77,0.7768299234156971,1,True,0.0,72.0
e78,0.4252210675398155,0,True,2.0,74.0
e79,0.3727074887486838,1,True,0.0,74.0
e80,0.174468401103594,0,False,0.0,74.0
e81,0.5049199365560502,0,True,2.0,76.0
e82,0.1500153950845344,0,False,0.0,76.0
e83,0.7895537485357669,1,True,0.0,76.0
e84,0.626427269459832,0,True,2.0,78.0
e85,0.675844425423143,1,True,0.0,78.0
e86,0.8068998140952581,1,True,0.0,78.0
e87,0.3443450494085844,0,True,2.0,80.0
e88,0.8748611030537967,1,True,0.0,80.0
e89,0.1572118356035278,0,False,0.0,80.0
e90,0.8477354938850294,1,True,0.0,80.0
e91,0.7737142103327217,1,True,0.0,80.0
e92,0.4830436392778024,1,True,0.0,80.0
e93,0.2176380050802181,0,True,2.0,82.0
e94,0.5632190578231538,1,True,0.0,82.0
e95,0.4942984135762946,1,True,0.0,82.0
e96,0.772971184230599,1,True,0.0,82.0
e97,0.2740219769528063,0,True,2.0,84.0
e98,0.1462435711747839,0,False,0.0,84.0
e99,0.7814090670301406,1,True,0.0,84.0
e100,0.8353276757978009,1,True,0.0,84.0
e101,0.1974600914107458,0,False,0.0,84.0
e102,0.482615327602463,1,True,0.0,84.0
