month,trials_peak_3,trials_peak_4,trials_peak_5,units_peak_3,units_peak_4,units_peak_5
1,595.9195208337389,366.22501733658873,254.53855613994835,595.9195208337389,366.22501733658873,254.53855613994835
2,1270.2623357378793,836.1206905221628,605.6083330174262,1359.6502638629402,891.0544431226512,643.7891164384184
3,1508.8949077699754,1071.3719324750798,812.097543456151,1788.822186255718,1251.7237886538926,941.1195768297572
4,1517.816753444483,1163.6318787212376,923.5765224475205,2024.0782680957223,1504.6895247713123,1174.4131873395493
5,1408.7587238272156,1166.4940642818892,969.6381547562833,2142.692751495127,1682.0964921401496,1359.0112980154402
6,1246.702985511218,1115.114355383523,970.8517036801716,2191.950821753212,1805.6908928840664,1505.6705701527708
7,1069.0304816563307,1032.9745955916915,941.9959274853206,2201.2837657250075,1890.8182863997636,1622.4425495099458
8,896.3391345985581,935.695635731785,893.7819947984157,2188.946990915684,1948.485515878611,1715.5280059458387
9,739.0364907251645,833.4958666064956,833.9607959459627,2166.0952172320744,1986.6400921130892,1789.7741063131484
10,601.4523148217945,732.8628743311492,768.0955878841942,2139.366514937479,2011.0314798287172,1849.0030176432742
11,484.4135803466616,637.7169248535524,700.1233328480249,2112.5456276856153,2025.8149615007926,1896.2451007897341
12,386.845037226942,550.2288079237649,632.7712259403097,2087.639121617895,2033.984383299038,1933.9114938092225
13,306.74796013166565,471.39621961133025,567.8692544727168,2065.56880010666,2037.686116175168,1963.9252062326761
14,241.78272828309,401.44910045453844,506.5860480425474,2046.615762277834,2038.448429960076,1987.8223879734142
15,189.6009981913263,340.1329983383536,449.6071989482376,2030.701441428534,2037.349692912072,2006.8314460854867
16,148.02181090579822,286.90526014424813,397.270012019631,2017.5624038717049,2035.1419044687195,2021.9353389991154
17,115.11250292186517,241.06899003536617,349.6650681633255,2006.8563675236414,2032.3414233814747,2033.9208969457545
18,89.21340069700138,201.86273947398223,306.7124376598506,1998.2241407370575,2029.2955213253956,2043.4180266667786
19,68.93096421556868,168.5188990196575,268.21851158000567,1991.3237143601748,2026.2310917921682,2050.9309662359115
20,53.114717013075094,140.30015378236521,233.9180242951735,1985.8471117900167,2023.2901814078245,2056.86325568808
21,40.82726243901928,116.52074548951192,203.50478354947379,1981.5268647679222,2020.555796182326,2061.5377185866564
22,31.312817700085244,96.55737885098883,176.65381723805086,1978.1365093948407,2018.0705413672297,2065.2124698076545
23,23.967254300853103,79.85322322866809,153.03702522227132,1975.4878686506215,2015.8499925725573,2068.093750377582
24,18.311121399342483,65.91745251072244,132.33394510763938,1973.4268238942386,2013.892205338912,2070.3462240462914
