product,eligible_buyers,awareness,availability_given_awareness,interest,units_per_buyer_24m,research_date,source,split,observed_units_24m,modeled_units_24m,relative_error
Product 01,96091,0.7753201233458062,0.5745560878725482,0.27252719087193406,6.703232154675789,2025-03-18,Synthetic educational record,calibration,73164.30299132608,66762.18265984,-0.08750333249597264
Product 02,123985,0.8075084082839963,0.5437550382063177,0.13713405437693763,3.628997633550325,2025-03-18,Synthetic educational record,calibration,26790.863134298274,23130.856858432315,-0.13661397385813734
Product 03,119043,0.3906168204920366,0.7445394688724469,0.14911945569337656,3.1192735732280275,2025-03-18,Synthetic educational record,calibration,13594.222464799821,13748.981602167049,0.011384184551043841
Product 04,91531,0.5877961707791215,0.7793446105611782,0.13514914314225707,7.485650483270912,2025-03-18,Synthetic educational record,calibration,33486.26015783455,36216.590659106994,0.08153584450467966
Product 05,107425,0.49362871731625413,0.5929072610296711,0.17613861220981986,4.991581290236279,2025-03-18,Synthetic educational record,calibration,24217.955348095806,23600.73309469104,-0.025486142183894
Product 06,92847,0.4560474453551249,0.658851230086088,0.3374632752106219,6.46239197365951,2025-03-18,Synthetic educational record,calibration,47380.80093862585,51942.79370513116,0.09628357216701833
Product 07,132246,0.7272715196068888,0.8491204581110336,0.12076186863780934,7.742630595343257,2025-03-18,Synthetic educational record,calibration,65664.69314906206,65193.90878927948,-0.007169520440975519
Product 08,120087,0.4718078680417982,0.7797627219589363,0.20354121767267203,4.587029490021966,2025-03-18,Synthetic educational record,calibration,35125.65298929279,35216.62805916709,0.00258998942744304
Product 09,86435,0.5862258995932966,0.8556848806523929,0.14651037488598148,5.2656328735528195,2025-03-18,Synthetic educational record,calibration,27610.360567111922,28557.992733936895,0.03432161505176956
Product 10,128075,0.49813213332725853,0.49673346245441236,0.34174272224359337,5.958134439368023,2025-03-18,Synthetic educational record,calibration,58799.64604182741,55091.188182175174,-0.06306939087718666
Product 11,84854,0.6701818743059438,0.6910913048679785,0.33734793659378964,4.846772835821524,2025-03-18,Synthetic educational record,calibration,54055.042612604324,54861.9671761943,0.014927831421259974
Product 12,85233,0.35346043898380225,0.7256693288279222,0.3400351478952942,5.978785834811376,2025-03-18,Synthetic educational record,calibration,36094.94499016103,37945.85900083219,0.051279036750871754
Product 13,125128,0.591740235384132,0.73662864396157,0.260457890031323,6.58789710940264,2025-03-18,Synthetic educational record,calibration,80471.34612567048,79902.2037809925,-0.007072608724466467
Product 14,113317,0.5581492886930153,0.5633977129768657,0.31236427802054717,3.1001752598564627,2025-03-18,Synthetic educational record,calibration,29983.76085379546,29461.059305256145,-0.017432821422505018
Product 15,127273,0.4217294697953262,0.5556153669627745,0.3632291475971171,7.4827375640519325,2025-03-18,Synthetic educational record,calibration,70391.7826810634,69203.15770958642,-0.016885848407370174
Product 16,125970,0.37766730465209997,0.49803866411864967,0.13460571616220768,4.122575858314393,2025-03-18,Synthetic educational record,calibration,11613.841575781853,11225.662030464267,-0.03342387123026114
Product 17,104851,0.5898661613712708,0.43716678340355464,0.12194903021284814,6.59650727102357,2025-03-18,Synthetic educational record,calibration,18272.96011078441,18569.74066902405,0.016241515137138895
Product 18,150679,0.4586334214598796,0.6980122399129631,0.2500769522581784,4.431060362806185,2025-03-18,Synthetic educational record,calibration,46002.48841545074,45635.52251694507,-0.007977088004274435
Product 19,156757,0.7388060116645662,0.8672060458761688,0.37383411703392316,4.564294636080008,2025-03-18,Synthetic educational record,calibration,146626.95362517747,146309.4886463283,-0.0021651201978915013
Product 20,109127,0.6713503766241855,0.6182875246549293,0.3612243600094491,5.082908539969767,2025-03-18,Synthetic educational record,calibration,71192.39078509955,71007.0530366405,-0.0026033364860368335
Product 21,136053,0.5648186424818198,0.7148499070304556,0.21573184815492774,7.546140344120245,2025-03-18,Synthetic educational record,calibration,79640.69857264047,76350.41090009446,-0.04131414881481643
Product 22,159156,0.7240052202321641,0.6751292414125902,0.1365394643431002,4.910701009879715,2025-03-18,Synthetic educational record,calibration,43580.60166292029,44534.18878554271,0.021880999486837194
Product 23,106423,0.8051857191610335,0.567382524733847,0.3546978537254484,6.758001206214575,2025-03-18,Synthetic educational record,calibration,91641.10833868773,99500.34080399897,0.08576099315893315
Product 24,102879,0.7349118994748067,0.8787335487366803,0.13616146093782033,3.6613119413499464,2025-03-18,Synthetic educational record,calibration,30966.351081566285,28278.110161211895,-0.08681167869192863
Product 25,119572,0.8379430414660484,0.6814275687123624,0.34836390727499766,4.116787438542578,2025-03-18,Synthetic educational record,validation,88181.40502805253,83597.92836082398,-0.05197781398210244
Product 26,89657,0.5956546080089885,0.8853992866830152,0.3918054804695516,7.160048170371129,2025-03-18,Synthetic educational record,validation,113211.50318948427,113251.65401914944,0.00035465326874040137
Product 27,83952,0.7865072517913467,0.7942231479695132,0.1068692530328626,6.940399269417108,2025-03-18,Synthetic educational record,validation,31770.130118589328,33208.845251049024,0.04528515077178974
Product 28,112304,0.6891953358512957,0.7371371474228544,0.3718260619350213,6.327842288981176,2025-03-18,Synthetic educational record,validation,115005.37894711833,114609.74660556261,-0.0034401203246122725
Product 29,110044,0.8469748037795268,0.765357149718169,0.21389162470856043,3.557314367731012,2025-03-18,Synthetic educational record,validation,46410.32476370507,46340.130761844644,-0.0015124652158289287
Product 30,141859,0.7323605069009906,0.8868269489859872,0.22505102075062694,3.0365871958375013,2025-03-18,Synthetic educational record,validation,58284.10064286474,53756.0887930394,-0.07768862862911252
