month,peak,trials,units
1,3,595.9195208337392,595.9195208337392
2,3,1270.2623357378795,1359.6502638629404
3,3,1508.8949077699758,1788.8221862557186
4,3,1517.8167534444835,2024.0782680957227
5,3,1408.7587238272158,2142.6927514951276
6,3,1246.7029855112182,2191.950821753212
7,3,1069.030481656331,2201.2837657250075
8,3,896.3391345985583,2188.946990915685
9,3,739.0364907251648,2166.095217232075
10,3,601.4523148217947,2139.3665149374797
11,3,484.4135803466617,2112.5456276856157
12,3,386.8450372269421,2087.6391216178954
13,3,306.7479601316657,2065.5688001066605
14,3,241.78272828309008,2046.6157622778346
15,3,189.60099819132637,2030.7014414285345
16,3,148.02181090579828,2017.562403871705
17,3,115.1125029218652,2006.856367523642
18,3,89.2134006970014,1998.224140737058
19,3,68.9309642155687,1991.3237143601752
20,3,53.11471701307511,1985.8471117900172
21,3,40.82726243901929,1981.5268647679227
22,3,31.31281770008525,1978.1365093948411
23,3,23.96725430085311,1975.4878686506222
24,3,18.31112139934249,1973.4268238942393
1,4,366.22501733658885,366.22501733658885
2,4,836.120690522163,891.0544431226514
3,4,1071.3719324750803,1251.723788653893
4,4,1163.6318787212379,1504.6895247713128
5,4,1166.4940642818895,1682.09649214015
6,4,1115.1143553835232,1805.6908928840671
7,4,1032.9745955916917,1890.818286399764
8,4,935.6956357317853,1948.4855158786113
9,4,833.4958666064958,1986.6400921130898
10,4,732.8628743311493,2011.0314798287175
11,4,637.7169248535525,2025.8149615007933
12,4,550.228807923765,2033.9843832990387
13,4,471.39621961133037,2037.6861161751685
14,4,401.44910045453855,2038.4484299600763
15,4,340.13299833835373,2037.3496929120724
16,4,286.9052601442482,2035.14190446872
17,4,241.06899003536623,2032.3414233814751
18,4,201.8627394739823,2029.2955213253963
19,4,168.51889901965757,2026.2310917921686
20,4,140.30015378236524,2023.290181407825
21,4,116.52074548951195,2020.5557961823265
22,4,96.55737885098885,2018.0705413672304
23,4,79.8532232286681,2015.8499925725578
24,4,65.91745251072246,2013.8922053389126
1,5,254.53855613994844,254.53855613994844
2,5,605.6083330174263,643.7891164384185
3,5,812.0975434561512,941.1195768297574
4,5,923.5765224475208,1174.4131873395497
5,5,969.6381547562835,1359.0112980154404
6,5,970.8517036801718,1505.6705701527712
7,5,941.9959274853209,1622.4425495099463
8,5,893.7819947984159,1715.5280059458396
9,5,833.960795945963,1789.7741063131489
10,5,768.0955878841944,1849.0030176432747
11,5,700.1233328480251,1896.2451007897344
12,5,632.7712259403099,1933.911493809223
13,5,567.8692544727169,1963.9252062326766
14,5,506.58604804254753,1987.8223879734146
15,5,449.60719894823774,2006.831446085487
16,5,397.2700120196311,2021.935338999116
17,5,349.6650681633256,2033.9208969457552
18,5,306.7124376598507,2043.4180266667793
19,5,268.2185115800057,2050.930966235912
20,5,233.91802429517358,2056.8632556880807
21,5,203.50478354947384,2061.537718586657
22,5,176.65381723805092,2065.212469807655
23,5,153.03702522227138,2068.093750377583
24,5,132.3339451076394,2070.346224046292
